escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas
E4,1,1,2026-07-06T09:08:36,11,13.35,20.26,1286,51,3781,2045,3.596,,,,
E4,1,2,2026-07-06T09:09:37,11,14.86,20.42,1286,51,3913,2292,3.087,,,,
E4,1,3,2026-07-06T09:10:37,11,14.58,20.65,1288,51,3921,2370,3.554,,,,
E4,1,4,2026-07-06T09:11:37,11,14.13,21.05,1285,51,3947,2460,3.521,,,,
E4,1,5,2026-07-06T09:12:37,11,14.17,20.8,1285,51,3986,2508,3.238,,,,
E4,1,6,2026-07-06T09:13:37,11,13.93,21.05,1285,52,3921,2456,3.294,,,,
E4,1,7,2026-07-06T09:14:37,11,14.27,21.26,1287,54,3960,2585,3.538,,,,
E4,1,8,2026-07-06T09:15:37,11,14.63,21.37,1288,51,3997,2660,3.528,,,,
E4,1,9,2026-07-06T09:16:38,11,14.26,21.33,1287,51,3962,2585,3.546,,,,
E4,1,10,2026-07-06T09:17:38,11,14.18,21.36,1289,51,3965,2673,3.304,,,,
E4,1,11,2026-07-06T09:18:38,11,14.08,21.38,1287,51,3995,2567,3.303,,,,
E4,1,12,2026-07-06T09:19:38,11,14.17,21.49,1285,51,3999,2664,3.297,,,,
E4,1,13,2026-07-06T09:20:38,11,14.16,21.62,1289,51,3989,2613,3.087,,,,
E4,1,14,2026-07-06T09:21:38,11,14.1,21.77,1288,52,3968,2810,3.179,,,,
E4,1,15,2026-07-06T09:22:39,11,14.15,21.75,1290,51,3996,2722,3.121,,,,
E4,1,16,2026-07-06T09:23:39,11,14.29,21.92,1288,51,3996,2754,3.136,,,,
E4,1,17,2026-07-06T09:24:39,11,14.21,22.11,1289,51,3993,2777,3.509,,,,
E4,1,18,2026-07-06T09:25:39,11,14.13,22.07,1288,51,3956,2875,2.894,,,,
E4,1,19,2026-07-06T09:26:39,11,14.19,22.1,1289,51,3993,2843,3.587,,,,
E4,1,20,2026-07-06T09:27:39,11,14.22,22.04,1289,51,3994,2875,2.995,,,,
E4,1,21,2026-07-06T09:28:39,11,14.14,22.07,1288,52,3989,2907,3.258,,,,
E4,1,22,2026-07-06T09:29:40,11,14.17,22.1,1289,51,3991,2870,3.542,,,,
E4,1,23,2026-07-06T09:30:40,11,14.13,22.27,1290,54,3994,2807,3.255,,,,
E4,1,24,2026-07-06T09:31:40,11,13.94,22.48,1288,51,3905,2897,3.328,,,,
E4,1,25,2026-07-06T09:32:40,11,14.03,22.33,1291,51,3901,2938,3.358,,,,
E4,1,26,2026-07-06T09:33:40,11,14.64,22.26,1288,51,3887,3035,3.358,,,,
E4,1,27,2026-07-06T09:34:42,11,15.26,22.45,1292,51,3953,2994,2.925,,,,
E4,1,28,2026-07-06T09:35:42,11,14.44,22.39,1291,51,3981,2957,3.333,,,,
E4,1,29,2026-07-06T09:36:42,11,14.33,22.47,1292,51,3994,2944,3.395,,,,
E4,1,30,2026-07-06T09:37:42,11,14.59,22.33,1299,51,3995,3024,2.917,,,,
E4,1,31,2026-07-06T09:38:42,11,14.46,22.35,1298,51,3992,2994,3.298,,,,
E4,1,32,2026-07-06T09:39:43,11,14.52,22.47,1300,51,3991,3081,3.134,,,,
E4,1,33,2026-07-06T09:40:43,11,14.52,22.5,1299,51,3995,3142,3.454,,,,
E4,1,34,2026-07-06T09:41:43,11,14.47,22.69,1299,51,3998,3153,3.193,,,,
E4,1,35,2026-07-06T09:42:43,11,14.69,22.67,1302,51,3999,3175,2.905,,,,
E4,1,36,2026-07-06T09:43:44,11,15.25,22.6,1300,51,3992,3338,3.338,,,,
E4,1,37,2026-07-06T09:44:44,11,16.07,22.65,1301,51,3993,3399,3.305,,,,
E4,1,38,2026-07-06T09:45:44,11,16.53,22.72,1300,51,3994,3379,3.47,,,,
E4,1,39,2026-07-06T09:46:44,11,15.94,22.8,1301,51,3964,3271,2.909,,,,
E4,1,40,2026-07-06T09:47:45,11,15.47,22.94,1303,51,3966,3316,3.125,,,,
E4,1,41,2026-07-06T09:48:45,11,16.56,23.09,1302,51,3995,3432,3.502,,,,
