escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-07-03T21:15:20,0,2.13,17.5,1298,51,244,1023,3.861,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-07-03T21:15:50,0,2.29,17.5,1297,51,244,1023,3.72,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-07-03T21:16:20,0,2.43,17.48,1299,51,243,1022,3.543,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-07-03T21:16:50,0,2.53,17.52,1298,51,243,1022,3.42,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-07-03T21:07:34,1,2.88,17.55,1300,51,404,1023,3.068,1100,5109.2,0,,,2026-07-04T16:09:09.865Z,P2,E2,N=1,1,5109.2,0,85,0,freezeCount
E2,1,2,2026-07-03T21:08:04,1,3.17,17.48,1301,51,393,1022,3.212,1200,5483,0,,,2026-07-04T16:11:15.424Z,P2,E2,N=1,2,5483,0,101.2,0,freezeCount
E2,1,3,2026-07-03T21:08:34,1,3.2,17.51,1302,51,393,1022,3.064,1200,5482.8,0,,,2026-07-04T16:13:32.258Z,P2,E2,N=1,3,5482.8,0,129.5,0,freezeCount
E2,1,4,2026-07-03T21:09:04,1,3.29,17.51,1300,51,389,1022,3.069,1300,5520.9,0,,,2026-07-04T16:15:05.944Z,P2,E2,N=1,4,5520.9,0,86.8,0,freezeCount
E2,1,1,2026-07-04T16:22:58,5,9.17,18.86,1287,55,2001,1450,2.645,1800,5525.9,0,,,2026-07-04T15:58:03.222Z,P2,E2,N=5,1,5525.9,0,88,0,freezeCount
E2,1,2,2026-07-04T16:23:29,5,9.27,18.63,1288,55,2001,1450,3.072,1800,5529.5,0,,,2026-07-04T15:59:40.613Z,P2,E2,N=5,2,5529.5,0,84.4,0,freezeCount
E2,1,3,2026-07-04T16:23:59,5,9.24,18.76,1287,52,1926,1477,3.22,1900,5550.6,0,,,2026-07-04T16:01:15.053Z,P2,E2,N=5,3,5550.6,0,84.1,0,freezeCount
E2,1,4,2026-07-04T16:24:29,5,9.03,18.86,1286,51,1926,1477,2.925,1900,5447.9,0,,,2026-07-04T16:02:54.905Z,P2,E2,N=5,4,5447.9,0,94,0,freezeCount
E2,1,1,2026-07-04T16:37:57,10,15.84,21.91,1294,51,3999,2836,2.786,3000,5247.5,0,,,2026-07-04T15:01:10.327Z,P2,E2,N=10,1,5247.5,0,95.6,0,freezeCount
E2,1,2,2026-07-04T16:38:27,10,16.06,21.85,1295,52,3999,2836,2.823,2800,5229.1,0,,,2026-07-04T15:20:22.356Z,P2,E2,N=10,2,5229.1,0,75.7,0,freezeCount
E2,1,3,2026-07-04T16:38:57,10,16.03,22.01,1295,51,3983,2803,2.873,2800,5606.6,0,,,2026-07-04T15:21:50.589Z,P2,E2,N=10,3,5606.6,0,78.3,0,freezeCount
E2,1,4,2026-07-04T16:39:28,10,15.75,22,1297,54,3983,2803,2.921,2800,5643.4,1.22,,,2026-07-04T15:23:35.872Z,P2,E2,N=10,4,5643.4,2,98.1,1.22,freezeCount
E2,2,1,2026-07-04T18:45:38,20,14.04,23.46,1309,51,3991,2647,2.93,20000,7648.7,0,,,2026-07-04T19:27:08.609Z,P2,E2,N=20,1,7648.7,0,71.4,0,freezeCount
E2,2,2,2026-07-04T18:45:54,20,16.58,23.55,1309,51,3991,2647,3.378,22000,7618.3,0,,,2026-07-04T19:29:02.151Z,P2,E2,N=20,2,7618.3,0,100.3,0,freezeCount
E2,2,3,2026-07-04T18:46:03,20,16.58,23.55,1309,51,3991,2647,3.245,26000,7614.4,0.54,,,2026-07-04T19:31:08.862Z,P2,E2,N=20,3,7614.4,1,110.2,0.54,freezeCount
E2,2,4,2026-07-04T18:48:05,20,20.51,23.44,1312,51,3997,2890,3.049,33000,7826.6,1.47,cpu_pod al limite del cgroup (4000m)  mem sigue creciendo sin OOM tras ~3.5min de carga sostenida (log completo con la rampa en metricas_p2_maxusers_N20.csv),,2026-07-04T19:34:19.864Z,P2,E2,N=20,4,7826.6,2,81.4,1.47,freezeCount
E3,1,1,2026-07-04T22:41:06,5,9.55,23.34,1314,51,2299,2861,3.716,1700,5181.8,0,,,2026-07-04T20:29:58.418Z,P2,E3,N=5,1,6015.8,0,192.3,0,freezeCount
E3,1,2,2026-07-04T22:41:40,5,9.55,23.45,1312,51,2369,2863,3.779,1800,5154.9,0,,,2026-07-04T20:31:25.428Z,P2,E3,N=5,2,6010.5,0,76.7,0,freezeCount
E3,1,3,2026-07-04T22:42:13,5,9.55,23.42,1313,51,2369,2863,3.591,1600,5151.9,0,,,2026-07-04T20:32:38.441Z,P2,E3,N=5,3,6080.8,0,68.5,0,freezeCount
E3,1,4,2026-07-04T22:42:47,5,9.44,23.4,1311,51,2353,2856,3.133,1600,5163.3,0,,,2026-07-04T20:37:05.255Z,P2,E3,N=5,4,6184.3,0,260.5,0,freezeCount
