escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls
E1,1,1,2026-09-01T22:42:39,0,3.45,17.07,1307,51,434,2808,2.131,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,2,2026-09-01T22:43:16,0,2.48,17.15,1308,51,214,2729,2.852,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,3,2026-09-01T22:43:55,0,2.21,13,1305,51,221,2604,3.231,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,1,4,2026-09-01T22:44:34,0,2.2,13.2,1307,51,221,2604,2.618,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E2,1,1,2026-09-02T11:35:23,1,2.41,12.3,1282,51,361,667,3.216,1500,5110,0,,,2026-09-02T09:41:08.576Z,P2,E2,N=1,1,5110,0,259.1,0,freezeCount
E2,1,2,2026-09-02T11:35:53,1,2.51,12.36,1280,54,382,690,3.219,1500,5171,0,,,2026-09-02T09:43:20.867Z,P2,E2,N=1,2,5171,0,83.9,0,freezeCount
E2,1,3,2026-09-02T11:36:23,1,2.58,12.31,1281,55,382,690,2.67,1500,5082,0,,,2026-09-02T09:49:43.470Z,P2,E2,N=1,3,5082,0,343.1,0,freezeCount
E2,1,4,2026-09-02T11:36:53,1,2.61,12.68,1283,52,379,711,2.866,1500,5073,0,,,2026-09-02T09:53:34.350Z,P2,E2,N=1,4,5073,0,121.7,0,freezeCount
E2,2,1,2026-09-02T12:11:24,5,8.15,13.33,1290,51,1552,1856,2.787,2000,5175,0,,,2026-09-02T10:04:36.771Z,P2,E2,N=5,1,5175,0,152.8,0,freezeCount
E2,2,2,2026-09-02T12:11:55,5,8.22,13.26,1291,51,1595,1876,2.804,2000,5161,0,,,2026-09-02T10:08:00.144Z,P2,E2,N=5,2,5161,0,176.2,0,freezeCount
E2,2,3,2026-09-02T12:12:25,5,8.33,13.32,1291,51,1595,1876,2.769,2000,5111,0,,,2026-09-02T10:09:08.706Z,P2,E2,N=5,3,5111,0,150.4,0,freezeCount
E2,2,4,2026-09-02T12:12:55,5,8.11,13.34,1290,51,1595,1874,3.211,2000,5133,0,,,2026-09-02T10:10:33.403Z,P2,E2,N=5,4,5133,0,55.4,0,freezeCount
E2,3,1,2026-09-02T12:23:00,10,12.15,15.21,1297,51,3403,1836,2.731,3000,5206,0,,,2026-09-02T10:23:08.290Z,P2,E2,N=10,1,5206,0,141,0,freezeCount
E2,3,2,2026-09-02T12:23:30,10,15.91,15.43,1296,51,3403,1836,2.683,3000,5147,0,,,2026-09-02T10:26:45.432Z,P2,E2,N=10,2,5147,0,199.6,0,freezeCount
E2,3,3,2026-09-02T12:24:00,10,16.25,15.16,1296,51,3611,1832,2.5,3000,5147,0,,,2026-09-02T10:28:24.860Z,P2,E2,N=10,3,5147,0,186.6,0,freezeCount
E2,3,4,2026-09-02T12:24:30,10,16.3,14.99,1298,51,3611,1832,2.461,3000,5097,0,,,2026-09-02T10:31:06.218Z,P2,E2,N=10,4,5097,0,131,0,freezeCount
E2,4,1,2026-09-02T15:40:44,20,NA,NA,NA,NA,131,168,2.196,11000,7234,1,,,2026-09-02T13:41:49.795Z,P2,E2,N=20,1,7234,1,91.2,0.65,freezeCount
E2,4,2,2026-09-02T15:41:14,20,74.33,16.79,666,51,131,168,2.794,11000,7365,1,,,2026-09-02T13:44:19.584Z,P2,E2,N=20,2,7365,1,81.1,0.74,freezeCount
E2,4,3,2026-09-02T15:41:44,20,53.75,17.25,1302,53,3851,2935,2.456,12000,7173,1,,,2026-09-02T13:46:52.732Z,P2,E2,N=20,3,7173,1,83.9,0.72,freezeCount
E2,4,4,2026-09-02T15:42:15,20,33.29,17.29,1304,62,3851,2935,2.695,12000,9049,3,server crashed and ICE disconnected,,2026-09-02T13:48:43.546Z,P2,E2,N=20,3,9049,3,78.1,2.3,freezeCount
E3,1,1,2026-09-02T15:59:05,5,7.34,13.93,1304,54,1243,946,3.175,1500,5418,0,,,2026-09-02T14:00:31.459Z,P2,E3,N=5,1,5418,0,71.8,0,freezeCount
E3,1,2,2026-09-02T15:59:36,5,8.02,14.21,1304,51,1606,937,2.716,1500,5394,0,ICE desconectado momentáneamente,,2026-09-02T14:01:36.353Z,P2,E3,N=5,2,5394,0,44,0,freezeCount
E3,1,3,2026-09-02T16:00:08,5,8.07,14.12,1305,52,1606,937,2.561,1500,5498,0,,,2026-09-02T14:04:26.490Z,P2,E3,N=5,3,5498,0,127.1,0,freezeCount
