escenario,rep,muestra,timestamp,N_peers,cpu_nodo_pct,mem_nodo_pct,egress_tx_Bps,egress_rx_Bps,pod_cpu_m,pod_mem_Mi,bitrate_Mbps,latencia_g2g_ms,startup_ms,stalls_per_min,notas,,timestamp,sistema,escenario,parametro,repeticion,startup_ms,stalls_count,duracion_s,stalls_per_min,fuente_stalls,
E1,1,1,2026-09-04T11:05:08,0,1.5,7.51,1281,51,140,352,2.643,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E1,1,2,2026-09-04T11:05:38,0,1.61,7.56,1281,51,140,352,2.882,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E1,1,3,2026-09-04T11:06:08,0,1.71,7.51,1281,51,145,373,3.065,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E1,1,4,2026-09-04T11:06:38,0,1.6,7.62,1282,52,145,373,2.641,N/A,N/A,N/A,,,N/A,P2,E1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E2,1,1,2026-09-04T11:21:16,1,2.56,8.17,1286,51,371,851,2.869,1500,10385,0,,,2026-09-04T09:13:02.158Z,P2,E2,N=1,1,10385,0,238.8,0,freezeCount,
E2,1,2,2026-09-04T11:21:46,1,2.57,8.15,1286,51,349,874,2.619,1500,5175,0,,,2026-09-04T09:17:46.860Z,P2,E2,N=1,2,5175,0,273.2,0,freezeCount,
E2,1,3,2026-09-04T11:22:16,1,2.6,8.18,1288,51,349,874,3.201,1500,5223,0,,,2026-09-04T09:20:30.204Z,P2,E2,N=1,3,5223,0,143.5,0,freezeCount,
E2,1,4,2026-09-04T11:22:46,1,2.52,8.15,1287,51,384,896,3.102,1500,5188,0,,,2026-09-04T09:22:45.291Z,P2,E2,N=1,4,5188,0,124.8,0,freezeCount,
E2,2,1,2026-09-04T11:34:06,6,7.94,10.64,1291,52,1642,1499,3.108,1800,5175,0,,,2026-09-04T09:36:23.570Z,P2,E2,N=5,1,5175,0,158.8,0,freezeCount,
E2,2,2,2026-09-04T11:34:37,6,7.98,10.37,1291,51,1642,1499,2.88,1800,5180,0,,,2026-09-04T09:39:45.047Z,P2,E2,N=5,2,5180,0,188.5,0,freezeCount,
E2,2,3,2026-09-04T11:35:07,6,8.06,10.31,1290,51,1579,1515,2.631,1800,5233,0,,,2026-09-04T09:44:22.784Z,P2,E2,N=5,3,5233,0,265.7,0,freezeCount,
